Eruption Number,Volcano Name,Eruption Category,Evidence Type,Evidence Method,VEI,Start Year,Start Month,Start Day,End Year,End Month,End Day
22486,Cotopaxi,Confirmed,Observations,Reported,2,2022,10,21,2022,12,19
22481,Taal,Confirmed,Observations,Reported,1,2022,10,5,2022,10,29
22458,Turrialba,Confirmed,Observations,Reported,1,2022,7,17,2022,7,17
22453,Ulawun,Confirmed,Observations,Reported,2,2022,6,2,2022,6,2
22454,Raung,Confirmed,Observations,Satellite (infrared),2,2022,5,14,2022,9,27
22445,Gaua,Confirmed,Observations,Reported,1,2022,5,3,2022,5,3
22451,Purace,Confirmed,Observations,Reported,1,2022,3,29,2022,3,29
22430,Ambrym,Confirmed,Observations,Reported,1,2022,1,25,2022,2,2
22456,Chikurachki,Confirmed,Observations,Satellite (visual),2,2022,1,17,2022,10,17
22431,Wolf,Confirmed,Observations,Reported,2,2022,1,6,2022,4,14
22396,"Fournaise, Piton de la",Confirmed,Observations,Seismicity,0,2021,12,22,2022,1,17
22429,Hunga Tonga-Hunga Ha'apai,Confirmed,Observations,Reported,5,2021,12,20,2022,1,15
22420,Ambae,Confirmed,Observations,Reported,1,2021,12,5,2022,8,15
22423,Pinatubo,Confirmed,Observations,Reported,1,2021,11,30,2021,11,30
22421,Iliwerung,Confirmed,Observations,Reported,0,2021,11,28,2021,11,29
22475,Gaua,Confirmed,Observations,Reported,1,2021,11,16,2021,11,16
22452,Taal,Confirmed,Observations,Reported,2,2021,11,15,2022,4,1
22425,Turrialba,Confirmed,Observations,Reported,1,2021,11,3,2022,2,28
22424,Asosan,Confirmed,Observations,Reported,2,2021,10,14,2021,10,20
22419,Kavachi,Confirmed,Observations,Reported,0,2021,10,2,2022,12,19
22416,Kilauea,Confirmed,Observations,Reported,0,2021,9,29,2023,1,6
22417,La Palma,Confirmed,Observations,Reported,3,2021,9,19,2021,12,13
22407,Nishinoshima,Confirmed,Observations,Reported,2,2021,8,14,2021,8,15
22408,Fukutoku-Oka-no-Ba,Confirmed,Observations,Reported,4,2021,8,13,2021,9,12
22410,Chirinkotan,Confirmed,Observations,Reported,2,2021,8,8,2021,8,26
22411,Pavlof,Confirmed,Observations,Reported,2,2021,8,5,2022,12,7
22409,Pagan,Confirmed,Observations,Reported,2,2021,7,29,2021,9,6
22405,Sirung,Confirmed,Observations,Reported,1,2021,7,21,2021,7,21
22414,Ulawun,Confirmed,Observations,Reported,2,2021,7,9,2021,11,29
22413,Copahue,Confirmed,Observations,Reported,1,2021,7,2,2021,11,6
22406,Taal,Confirmed,Observations,Reported,1,2021,7,1,2021,7,9
22412,Rincon de la Vieja,Confirmed,Observations,Reported,2,2021,6,28,2022,12,19
22403,Turrialba,Confirmed,Observations,Reported,1,2021,6,13,2021,7,23
22426,Krakatau,Confirmed,Observations,Reported,2,2021,5,25,2022,12,19
22401,Great Sitkin,Confirmed,Observations,Reported,2,2021,5,25,2022,12,19
22397,Dieng Volcanic Complex,Confirmed,Observations,Reported,1,2021,4,29,2021,4,29
22402,Telica,Confirmed,Observations,Reported,1,2021,4,21,2022,3,29
22404,Tengger Caldera,Uncertain,Observations,Satellite (infrared),0,2021,4,15,2021,10,22
22395,"Fournaise, Piton de la",Confirmed,Observations,Seismicity,0,2021,4,9,2021,5,24
22435,Chikurachki,Confirmed,Observations,Satellite (visual),1,2021,3,21,2021,8,25
22399,Fagradalsfjall,Confirmed,Observations,Reported,0,2021,3,19,2021,9,18
22393,Veniaminof,Confirmed,Observations,Reported,1,2021,2,28,2021,4,5
22392,Semisopochnoi,Confirmed,Observations,Reported,2,2021,2,2,2022,11,7
22383,Raung,Confirmed,Observations,Reported,2,2021,1,21,2021,4,14
22381,Merapi,Confirmed,Observations,Reported,1,2020,12,31,2022,12,19
22394,San Cristobal,Confirmed,Observations,Reported,3,2020,12,27,2022,6,26
22385,Soufriere St. Vincent,Confirmed,Observations,Reported,4,2020,12,27,2021,4,22
22382,Tengger Caldera,Confirmed,Observations,Reported,1,2020,12,26,2020,12,28
22380,Kilauea,Confirmed,Observations,Reported,0,2020,12,20,2021,5,23
22371,"Fournaise, Piton de la",Confirmed,Observations,Seismicity,0,2020,12,7,2020,12,8
22373,Lewotolok,Confirmed,Observations,Reported,2,2020,11,27,2022,10,23
22374,Kikai,Confirmed,Observations,Reported,1,2020,10,6,2020,10,6
22364,Kavachi,Confirmed,Observations,Reported,0,2020,9,2,2021,4,10
22391,Kuchinoerabujima,Confirmed,Observations,Reported,1,2020,8,29,2020,8,29
22365,Sinabung,Confirmed,Observations,Reported,3,2020,8,8,2021,9,23
22368,Telica,Confirmed,Observations,Reported,1,2020,7,20,2020,12,9
22367,Raung,Confirmed,Observations,Reported,1,2020,7,16,2020,10,3
22369,Turrialba,Confirmed,Observations,Reported,1,2020,6,18,2020,8,24
22376,Copahue,Confirmed,Observations,Reported,2,2020,6,16,2020,11,2
22361,Cleveland,Confirmed,Observations,Reported,3,2020,6,1,2020,6,1
22359,Kikai,Confirmed,Observations,Reported,1,2020,4,29,2020,4,29
22360,Karymsky,Confirmed,Observations,Reported,3,2020,4,1,2022,8,7
22354,Soputan,Confirmed,Observations,Reported,2,2020,3,23,2020,4,2
22357,Kavachi,Confirmed,Observations,Reported,0,2020,3,16,2020,4,30
22384,Sarychev Peak,Confirmed,Observations,Reported,1,2020,2,29,2021,11,26
22355,San Miguel,Confirmed,Observations,Reported,1,2020,2,22,2020,2,22
22343,"Fournaise, Piton de la",Confirmed,Observations,Seismicity,0,2020,2,10,2020,4,6
22346,Rincon de la Vieja,Confirmed,Observations,Reported,2,2020,1,30,2020,12,13
22347,Fernandina,Confirmed,Observations,Reported,0,2020,1,12,2020,1,13
22344,Taal,Confirmed,Observations,Reported,4,2020,1,12,2020,1,22
22345,Kuchinoerabujima,Confirmed,Observations,Reported,3,2020,1,11,2020,5,13
22338,Whakaari/White Island,Confirmed,Observations,Reported,2,2019,12,9,2019,12,9
22341,Semisopochnoi,Confirmed,Observations,Reported,1,2019,12,7,2020,6,19
22340,Nishinoshima,Confirmed,Observations,Reported,1,2019,12,5,2020,8,27
22339,Kikai,Confirmed,Observations,Reported,2,2019,11,2,2019,11,2
22334,Lateiki,Confirmed,Observations,Reported,1,2019,10,13,2019,10,22
22326,Asamayama,Confirmed,Observations,Reported,2,2019,8,7,2019,8,25
22460,Unnamed,Confirmed,Observations,Satellite (visual),3,2019,8,6,2019,8,8
22336,Copahue,Confirmed,Observations,Reported,2,2019,8,2,2019,11,12
22325,Tangkuban Parahu,Confirmed,Observations,Reported,1,2019,7,26,2019,9,17
22330,Shishaldin,Confirmed,Observations,Reported,3,2019,7,23,2020,5,4
22328,Semisopochnoi,Confirmed,Observations,Reported,1,2019,7,16,2019,8,24
22319,Ulawun,Confirmed,Observations,Reported,4,2019,6,26,2019,10,5
22324,Ubinas,Confirmed,Observations,Reported,2,2019,6,24,2019,9,12
22321,Raikoke,Confirmed,Observations,Reported,3,2019,6,22,2019,7,1
22318,"Fournaise, Piton de la",Confirmed,Observations,Seismicity,0,2019,6,11,2019,10,27
22322,Great Sitkin,Confirmed,Observations,Reported,1,2019,6,1,2019,6,7
22320,Sarychev Peak,Confirmed,Observations,Reported,2,2019,5,16,2019,10,7
22323,Colima,Confirmed,Observations,Reported,1,2019,5,11,2019,7,12
22317,Asosan,Confirmed,Observations,Reported,2,2019,4,16,2020,6,16
22310,Klyuchevskoy,Confirmed,Observations,Reported,2,2019,4,9,2021,3,20
22312,Sangay,Confirmed,Observations,Reported,2,2019,3,26,2022,12,19
22311,San Cristobal,Confirmed,Observations,Reported,1,2019,3,4,2019,3,4
22306,Tengger Caldera,Confirmed,Observations,Reported,2,2019,2,18,2019,7,28
22307,"Fournaise, Piton de la",Confirmed,Observations,Seismicity,0,2019,2,18,2019,3,10
22309,Karymsky,Confirmed,Observations,Reported,2,2019,2,16,2019,9,24
22303,Poas,Confirmed,Observations,Reported,2,2019,2,7,2019,9,30
22316,Sinabung,Confirmed,Observations,Reported,4,2019,2,6,2019,6,9
22313,Tinakula,Confirmed,Observations,Reported,2,2018,12,8,2022,12,12
22294,Karangetang,Confirmed,Observations,Reported,2,2018,11,25,2022,12,19
22297,Planchon-Peteroa,Confirmed,Observations,Reported,1,2018,11,7,2019,5,7
22296,Kuchinoerabujima,Confirmed,Observations,Reported,3,2018,10,21,2019,2,3
22295,Gamalama,Confirmed,Observations,Reported,1,2018,10,4,2018,10,6
22293,Soputan,Confirmed,Observations,Reported,3,2018,10,2,2018,12,16
22292,Barren Island,Confirmed,Observations,Reported,1,2018,9,25,2022,1,30
22286,Ulawun,Confirmed,Observations,Reported,2,2018,9,21,2018,10,12
22287,Ketoi,Uncertain,Observations,Reported,1,2018,9,21,2018,9,21
22288,Sarychev Peak,Confirmed,Observations,Reported,2,2018,9,8,2018,10,15
22289,Semisopochnoi,Confirmed,Observations,Reported,1,2018,9,8,2018,10,31
22290,Veniaminof,Confirmed,Observations,Reported,1,2018,9,4,2018,12,23
22281,Alaid,Confirmed,Observations,Reported,1,2018,8,20,2018,8,21
22283,Sangay,Confirmed,Observations,Reported,2,2018,8,8,2018,12,7
22282,Rincon de la Vieja,Confirmed,Observations,Reported,1,2018,7,28,2019,6,11
22280,Nishinoshima,Confirmed,Observations,Reported,1,2018,7,12,2018,7,21
22337,Mayotte,Confirmed,Observations,Seismicity,0,2018,7,3,2019,8,20
22279,"Negra, Sierra",Confirmed,Observations,Reported,2,2018,6,26,2018,8,23
22277,Telica,Confirmed,Observations,Reported,1,2018,6,21,2018,8,15
22275,Krakatau,Confirmed,Observations,Reported,3,2018,6,18,2020,4,17
22278,Fernandina,Confirmed,Observations,Reported,1,2018,6,16,2018,6,21
22276,Great Sitkin,Confirmed,Observations,Reported,1,2018,6,10,2018,8,11
22285,Ulawun,Confirmed,Observations,Reported,1,2018,6,8,2018,6,8
22264,Merapi,Confirmed,Observations,Reported,3,2018,5,11,2020,6,21
22265,Karymsky,Confirmed,Observations,Reported,3,2018,4,28,2018,9,30
22262,Marapi,Confirmed,Observations,Reported,2,2018,4,27,2018,5,2
22266,San Cristobal,Confirmed,Observations,Reported,1,2018,4,22,2018,4,22
22274,Kerinci,Confirmed,Observations,Reported,1,2018,4,21,2021,6,13
22315,Nyamulagira,Confirmed,Observations,Reported,0,2018,4,18,2022,12,19
22261,"Fournaise, Piton de la",Confirmed,Observations,Seismicity,0,2018,4,3,2018,11,1
22263,Dieng Volcanic Complex,Confirmed,Observations,Reported,1,2018,4,1,2018,4,1
22257,Kirishimayama,Confirmed,Observations,Reported,3,2018,3,1,2018,6,27
22259,Sangay,Confirmed,Observations,Reported,1,2018,2,25,2018,2,25
22256,Karangetang,Confirmed,Observations,Reported,1,2018,2,2,2018,2,2
22258,Kusatsu-Shiranesan,Confirmed,Observations,Reported,1,2018,1,23,2018,1,23
22251,San Miguel,Confirmed,Observations,Reported,1,2018,1,14,2018,5,30
22250,Mayon,Confirmed,Observations,Reported,2,2018,1,13,2019,10,12
22246,Kadovar,Confirmed,Observations,Reported,2,2018,1,5,2022,12,15
22249,Kanlaon,Confirmed,Observations,Reported,2,2017,12,9,2017,12,9
22241,Agung,Confirmed,Observations,Reported,3,2017,11,21,2019,6,13
22248,Dempo,Confirmed,Observations,Reported,1,2017,11,9,2017,11,9
22239,Tinakula,Confirmed,Observations,Reported,3,2017,10,21,2017,10,26
22308,Sarychev Peak,Confirmed,Observations,Reported,2,2017,10,12,2017,11,13
22242,Kirishimayama,Confirmed,Observations,Reported,2,2017,10,11,2017,10,17
22240,Ambae,Confirmed,Observations,Reported,3,2017,9,6,2018,10,30
22245,Fernandina,Confirmed,Observations,Reported,2,2017,9,4,2017,9,7
22252,San Cristobal,Confirmed,Observations,Reported,3,2017,8,18,2017,11,11
22273,Kerinci,Confirmed,Observations,Reported,1,2017,8,13,2017,8,13
22231,Sangay,Confirmed,Observations,Reported,2,2017,7,20,2017,10,26
22228,Sangeang Api,Confirmed,Observations,Reported,2,2017,7,15,2020,6,10
22224,"Fournaise, Piton de la",Confirmed,Observations,Seismicity,0,2017,7,14,2017,8,28
22225,Ulawun,Confirmed,Observations,Reported,1,2017,6,11,2017,11,3
22229,Bulusan,Confirmed,Observations,Reported,1,2017,6,5,2017,6,5
22226,Marapi,Confirmed,Observations,Reported,1,2017,6,4,2017,6,4
22230,Karymsky,Confirmed,Observations,Reported,3,2017,6,4,2018,1,27
22232,Copahue,Confirmed,Observations,Reported,1,2017,6,4,2018,12,7
22208,Rincon de la Vieja,Confirmed,Observations,Reported,2,2017,5,23,2018,3,15
22227,Dieng Volcanic Complex,Confirmed,Observations,Reported,1,2017,4,30,2017,7,2
22207,Nishinoshima,Confirmed,Observations,Reported,2,2017,4,18,2017,8,17
22209,Poas,Confirmed,Observations,Reported,1,2017,4,12,2017,11,6
22284,"Lengai, Ol Doinyo",Confirmed,Observations,Reported,0,2017,4,9,2022,11,19
22260,Kick 'em Jenny,Confirmed,Observations,Hydrophonic,0,2017,3,29,2017,3,29
22203,Aira,Confirmed,Observations,Reported,1,2017,3,25,2022,12,19
22198,Kambalny,Confirmed,Observations,Reported,3,2017,3,24,2017,4,10
22269,San Cristobal,Confirmed,Observations,Reported,1,2017,2,18,2017,4,19
22188,Krakatau,Confirmed,Observations,Reported,1,2017,2,17,2017,2,19
22184,"Fournaise, Piton de la",Confirmed,Observations,Seismicity,0,2017,1,31,2017,2,27
22185,Unnamed,Confirmed,Observations,Reported,0,2017,1,23,2017,1,31
22187,Barren Island,Confirmed,Observations,Reported,2,2017,1,15,2017,3,24
22192,San Miguel,Confirmed,Observations,Reported,1,2017,1,7,2017,1,7
22182,Bogoslof,Confirmed,Observations,Reported,3,2016,12,20,2017,8,30
22175,Chirinkotan,Confirmed,Observations,Reported,3,2016,11,29,2017,4,7
22202,Nyamulagira,Confirmed,Observations,Reported,0,2016,11,27,2017,5,2
22177,Zhupanovsky,Confirmed,Observations,Reported,2,2016,11,20,2016,11,20
22172,Kerinci,Confirmed,Observations,Reported,1,2016,11,15,2016,11,21
22467,Monowai,Uncertain,Uncertain,Unspecified,0,2016,11,11,2016,11,12
22158,Sabancaya,Confirmed,Observations,Reported,3,2016,11,6,2022,12,19
22176,Ebeko,Confirmed,Observations,Reported,2,2016,10,20,2021,11,9
22171,Ulawun,Confirmed,Observations,Reported,1,2016,10,11,2016,11,18
22174,Asosan,Confirmed,Observations,Reported,3,2016,10,7,2016,11,12
22178,Karymsky,Confirmed,Observations,Reported,2,2016,10,5,2016,10,8
22305,"Lengai, Ol Doinyo",Confirmed,Observations,Reported,0,2016,9,21,2016,10,13
22147,Whakaari/White Island,Confirmed,Observations,Reported,1,2016,9,13,2016,9,13
22181,Ubinas,Confirmed,Observations,Reported,2,2016,9,13,2017,3,2
22145,"Fournaise, Piton de la",Confirmed,Observations,Seismicity,0,2016,9,11,2016,9,18
22150,Gamalama,Confirmed,Observations,Reported,1,2016,8,3,2016,8,4
22149,Rinjani,Confirmed,Observations,Reported,2,2016,8,1,2016,9,27
22153,Chikurachki,Confirmed,Observations,Reported,2,2016,7,27,2016,8,29
22154,San Miguel,Confirmed,Observations,Reported,1,2016,6,18,2016,6,18
22151,Bulusan,Confirmed,Observations,Reported,2,2016,6,10,2017,3,2
22156,Poas,Confirmed,Observations,Reported,1,2016,6,5,2016,8,16
22144,"Fournaise, Piton de la",Confirmed,Observations,Seismicity,0,2016,5,26,2016,5,27
22121,Whakaari/White Island,Confirmed,Observations,Reported,1,2016,4,27,2016,4,27
22133,Bristol Island,Confirmed,Observations,Reported,1,2016,4,24,2016,7,19
22130,San Cristobal,Confirmed,Observations,Reported,2,2016,4,22,2016,4,22
22128,Cleveland,Confirmed,Observations,Reported,2,2016,4,16,2019,1,16
22125,Kerinci,Confirmed,Observations,Reported,2,2016,3,31,2016,6,9
22159,Zavodovski,Confirmed,Observations,Reported,1,2016,3,30,2016,5,16
22127,Chikurachki,Confirmed,Observations,Reported,2,2016,3,29,2016,3,31
22129,Pavlof,Confirmed,Observations,Reported,2,2016,3,27,2016,7,30
22237,Sangay,Confirmed,Observations,Reported,2,2016,3,25,2016,11,17
22114,Bulusan,Confirmed,Observations,Reported,2,2016,2,22,2016,2,22
22117,San Miguel,Confirmed,Observations,Reported,1,2016,1,12,2016,1,18
22119,"Chillan, Nevados de",Confirmed,Observations,Reported,2,2016,1,8,2022,10,16
22105,Soputan,Confirmed,Observations,Reported,3,2016,1,2,2016,2,7
22107,Momotombo,Confirmed,Observations,Reported,2,2015,12,1,2016,4,7
22106,Kanlaon,Confirmed,Observations,Reported,2,2015,11,24,2016,6,18
22111,Marapi,Confirmed,Observations,Reported,1,2015,11,14,2015,11,14
22103,Tengger Caldera,Confirmed,Observations,Reported,2,2015,11,12,2016,11,12
22110,Lascar,Confirmed,Observations,Reported,2,2015,10,30,2017,4,2
22104,Rinjani,Confirmed,Observations,Reported,2,2015,10,25,2015,12,24
22123,Langila,Confirmed,Observations,Reported,2,2015,10,22,2022,11,7
22108,Masaya,Confirmed,Observations,Reported,1,2015,10,3,2022,12,14
22370,Tofua,Confirmed,Observations,Reported,0,2015,10,2,2022,12,3
21096,Alaid,Confirmed,Observations,Reported,1,2015,9,29,2016,8,11
21097,Telica,Confirmed,Observations,Reported,2,2015,9,23,2016,5,11
21098,Copahue,Confirmed,Observations,Reported,2,2015,9,18,2016,12,30
21093,Lokon-Empung,Confirmed,Observations,Reported,1,2015,8,30,2015,9,28
21095,Klyuchevskoy,Confirmed,Observations,Reported,3,2015,8,28,2018,6,15
21088,Cotopaxi,Confirmed,Observations,Reported,2,2015,8,14,2016,1,24
22233,San Miguel,Confirmed,Observations,Reported,1,2015,8,13,2015,8,13
21090,Kick 'em Jenny,Confirmed,Observations,Reported,0,2015,7,23,2015,7,24
21087,Gamalama,Confirmed,Observations,Reported,2,2015,7,16,2015,9,8
21086,Sirung,Confirmed,Observations,Reported,1,2015,7,7,2015,7,8
21080,Hakoneyama,Confirmed,Observations,Reported,1,2015,6,29,2015,7,1
21089,Sabancaya,Confirmed,Observations,Reported,1,2015,6,28,2015,7,9
22304,"Lengai, Ol Doinyo",Confirmed,Observations,Reported,0,2015,6,20,2015,8,24
21081,Asamayama,Confirmed,Observations,Reported,1,2015,6,16,2015,6,16
22132,Rincon de la Vieja,Confirmed,Observations,Reported,1,2015,6,16,2016,5,1
22157,Pacaya,Confirmed,Observations,Reported,1,2015,6,7,2021,8,13
21073,Kuchinoerabujima,Confirmed,Observations,Reported,3,2015,5,29,2015,6,19
21075,Wolf,Confirmed,Observations,Reported,4,2015,5,25,2015,7,16
21071,Lokon-Empung,Confirmed,Observations,Reported,1,2015,5,20,2015,5,27
21074,Telica,Confirmed,Observations,Reported,2,2015,5,7,2015,5,28
21072,Bulusan,Confirmed,Observations,Reported,2,2015,5,1,2015,7,17
21092,Axial Seamount,Confirmed,Observations,Seismicity,0,2015,4,23,2015,5,24
21076,Calbuco,Confirmed,Observations,Reported,4,2015,4,22,2015,5,26
20998,Turrialba,Confirmed,Observations,Reported,2,2015,3,8,2019,12,7
22268,San Cristobal,Confirmed,Observations,Reported,2,2015,3,5,2015,6,12
20990,Chikurachki,Confirmed,Observations,Reported,3,2015,2,16,2015,2,18
20982,"Fournaise, Piton de la",Confirmed,Observations,Reported,0,2015,2,4,2015,2,15
20994,San Miguel,Confirmed,Observations,Reported,1,2015,1,26,2015,4,11
22236,Sangay,Confirmed,Observations,Reported,2,2015,1,18,2015,4,7
20988,Soputan,Confirmed,Observations,Reported,3,2015,1,6,2015,3,7
20992,Klyuchevskoy,Confirmed,Observations,Reported,2,2015,1,1,2015,5,10
20983,Hunga Tonga-Hunga Ha'apai,Confirmed,Observations,Reported,2,2014,12,19,2015,1,23
20989,Gamalama,Confirmed,Observations,Reported,2,2014,12,18,2014,12,25
20980,Sinarka,Uncertain,Observations,Reported,1,2014,12,3,2014,12,3
20996,Villarrica,Confirmed,Observations,Reported,1,2014,12,2,2022,12,19
21070,Raung,Confirmed,Observations,Reported,3,2014,11,23,2015,8,30
20977,Fogo,Confirmed,Observations,Reported,3,2014,11,23,2015,2,8
22223,Chirinkotan,Confirmed,Observations,Reported,2,2014,11,21,2015,8,10
20995,"Ruiz, Nevado del",Confirmed,Observations,Reported,2,2014,11,18,2022,12,19
22271,Saunders,Confirmed,Observations,Reported,1,2014,11,12,2022,11,16
20975,Pavlof,Confirmed,Observations,Reported,3,2014,11,12,2014,11,15
20974,Turrialba,Confirmed,Observations,Reported,2,2014,10,29,2014,12,8
22466,Monowai,Confirmed,Observations,Hydrophonic,0,2014,10,16,2014,11,5
20973,Lewotobi,Uncertain,Observations,Reported,2,2014,10,6,2014,10,6
20964,Ontakesan,Confirmed,Observations,Reported,3,2014,9,27,2014,10,14
20961,Rincon de la Vieja,Confirmed,Observations,Reported,1,2014,9,17,2014,10,24
20960,Asosan,Confirmed,Observations,Reported,2,2014,8,30,2016,5,1
20955,Bardarbunga,Confirmed,Observations,Reported,0,2014,8,29,2015,2,27
22222,Pacaya,Confirmed,Observations,Reported,1,2014,8,25,2015,2,17
20959,Mayon,Confirmed,Observations,Reported,0,2014,8,12,2014,10,19
20953,Sabancaya,Uncertain,Observations,Reported,1,2014,8,5,2014,12,27
20952,Kuchinoerabujima,Confirmed,Observations,Reported,1,2014,8,3,2014,8,3
22267,San Cristobal,Confirmed,Observations,Reported,1,2014,7,20,2014,10,1
20957,Rabaul,Confirmed,Observations,Reported,3,2014,7,7,2014,9,18
20954,Copahue,Confirmed,Observations,Reported,1,2014,7,4,2014,12,2
20956,Manam,Confirmed,Observations,Reported,4,2014,6,29,2022,12,19
20919,"Fournaise, Piton de la",Confirmed,Observations,Photo / Video,0,2014,6,21,2014,6,21
20914,Karangetang,Confirmed,Observations,Reported,2,2014,6,8,2016,3,15
20908,Zhupanovsky,Confirmed,Observations,Reported,3,2014,6,6,2016,3,24
20909,Pavlof,Confirmed,Observations,Reported,3,2014,5,31,2014,6,5
20911,Sangeang Api,Confirmed,Observations,Reported,3,2014,5,30,2015,11,5
20942,Nyamulagira,Confirmed,Observations,Reported,0,2014,5,30,2016,5,14
20936,Ahyi,Confirmed,Observations,Hydrophonic,0,2014,4,24,2014,5,17
22221,Semeru,Confirmed,Observations,Reported,4,2014,4,1,2022,12,19
20932,Krakatau,Confirmed,Observations,Reported,1,2014,3,31,2014,3,31
20910,Karkar,Confirmed,Observations,Reported,1,2014,3,26,2014,3,27
20892,Merapi,Confirmed,Observations,Reported,3,2014,3,9,2014,4,20
20933,Slamet,Confirmed,Observations,Reported,2,2014,3,8,2014,9,18
20934,Kelud,Confirmed,Observations,Reported,4,2014,2,13,2014,2,15
20913,Karangetang,Confirmed,Observations,Reported,2,2014,2,9,2014,2,9
20941,San Cristobal,Confirmed,Observations,Reported,1,2014,2,4,2014,4,12
20931,Marapi,Confirmed,Observations,Reported,1,2014,2,3,2014,2,26
20920,Kavachi,Confirmed,Observations,Satellite (visual),1,2014,1,29,2014,1,29
20937,Shishaldin,Confirmed,Observations,Reported,1,2014,1,28,2015,10,16
20935,Asosan,Confirmed,Observations,Reported,1,2014,1,13,2014,2,19
21069,Raung,Uncertain,Observations,Reported,1,2014,1,4,2014,1,4
22465,Monowai,Confirmed,Observations,Hydrophonic,1,2014,1,1,2014,1,1
20906,San Miguel,Confirmed,Observations,Reported,2,2013,12,29,2014,7,28
20916,Nishinoshima,Confirmed,Observations,Reported,2,2013,11,20,2015,11,17
20842,Merapi,Confirmed,Observations,Reported,2,2013,11,18,2013,11,18
22463,Krakatau,Confirmed,Observations,Reported,1,2013,10,31,2013,10,31
20907,Zhupanovsky,Confirmed,Observations,Reported,3,2013,10,23,2013,11,5
20918,Barren Island,Confirmed,Observations,Reported,2,2013,10,12,2016,5,17
20987,Tangkuban Parahu,Confirmed,Observations,Reported,1,2013,10,5,2013,10,5
21068,Zubair Group,Confirmed,Observations,Reported,2,2013,9,28,2013,11,20
22195,Telica,Confirmed,Observations,Reported,1,2013,9,25,2013,9,25
20818,Sinabung,Confirmed,Observations,Reported,4,2013,9,15,2018,8,30
20841,Etna,Confirmed,Observations,Reported,2,2013,9,3,2022,6,17
20832,Ubinas,Confirmed,Observations,Reported,2,2013,9,1,2016,2,27
20912,Iliwerung,Confirmed,Observations,Reported,0,2013,8,20,2013,8,20
20786,Klyuchevskoy,Confirmed,Observations,Reported,3,2013,8,15,2013,12,20
20838,Villarrica,Confirmed,Observations,Reported,1,2013,7,25,2013,7,29
22476,Merapi,Confirmed,Observations,Reported,1,2013,7,22,2013,7,22
20835,Ulawun,Confirmed,Observations,Reported,1,2013,7,8,2013,12,21
20828,Izu-Torishima,Uncertain,Observations,Reported,2,2013,7,6,2013,7,6
22378,Raung,Confirmed,Observations,Reported,1,2013,6,29,2013,7,31
20836,Veniaminof,Confirmed,Observations,Reported,3,2013,6,13,2013,10,12
20757,Chirinkotan,Confirmed,Observations,Reported,1,2013,6,11,2014,6,1
20817,San Cristobal,Confirmed,Observations,Reported,1,2013,6,7,2013,6,7
22220,Semeru,Confirmed,Observations,Reported,1,2013,6,4,2013,11,29
20781,Kikai,Confirmed,Observations,Reported,1,2013,6,4,2013,6,4
22216,Kerinci,Confirmed,Observations,Reported,1,2013,6,2,2013,6,2
20831,Turrialba,Confirmed,Observations,Reported,1,2013,5,21,2013,6,4
20807,Pavlof,Confirmed,Observations,Reported,3,2013,5,13,2013,6,26
22291,Masaya,Uncertain,Observations,Reported,0,2013,5,11,2013,5,26
20798,Mayon,Confirmed,Observations,Reported,2,2013,5,7,2013,5,7
20789,Lascar,Confirmed,Observations,Reported,1,2013,4,2,2013,11,20
22462,Krakatau,Confirmed,Observations,Reported,1,2013,3,11,2013,3,29
20802,Pacaya,Confirmed,Observations,Reported,2,2013,3,5,2014,4,10
20822,Tangkuban Parahu,Confirmed,Observations,Reported,1,2013,2,21,2013,3,6
20754,Barren Island,Confirmed,Observations,Reported,2,2013,2,16,2013,2,16
20762,Etorofu-Yakeyama [Grozny Group],Confirmed,Observations,Reported,2,2013,2,16,2013,4,4
21102,Mariana Back-Arc Segment at 15.5°N,Confirmed,Observations,Reported,0,2013,2,13,2015,12,1
20779,Karkar,Confirmed,Observations,Reported,3,2013,1,29,2013,3,15
22235,Sangay,Confirmed,Observations,Reported,2,2013,1,25,2013,5,24
20915,Gamkonora,Uncertain,Observations,Reported,1,2013,1,23,2013,5,27
20811,Rabaul,Confirmed,Observations,Reported,2,2013,1,19,2014,3,11
20759,Colima,Confirmed,Observations,Reported,3,2013,1,6,2017,3,7
20816,San Cristobal,Confirmed,Observations,Reported,2,2012,12,26,2012,12,28
20760,Copahue,Confirmed,Observations,Reported,2,2012,12,22,2013,12,10
20788,Langila,Confirmed,Observations,Reported,1,2012,12,1,2012,12,5
20825,Tolbachik,Confirmed,Observations,Reported,3,2012,11,27,2013,9,5
20827,Tongariro,Confirmed,Observations,Reported,2,2012,11,21,2012,11,21
20837,Villarrica,Uncertain,Observations,Reported,1,2012,11,14,2012,11,14
20756,Chirpoi,Confirmed,Observations,Reported,0,2012,11,11,2016,10,18
20834,Ulawun,Confirmed,Observations,Reported,1,2012,11,6,2012,12,11
20804,Pagan,Confirmed,Observations,Reported,2,2012,10,30,2012,12,11
22161,Rincon de la Vieja,Confirmed,Observations,Reported,1,2012,10,17,2012,10,17
22377,Raung,Confirmed,Observations,Reported,1,2012,10,16,2013,1,6
20806,Paluweh,Confirmed,Observations,Reported,3,2012,10,8,2013,10,31
20750,Alaid,Confirmed,Observations,Reported,2,2012,10,5,2012,12,12
20797,Marapi,Confirmed,Observations,Reported,1,2012,9,26,2012,9,26
20766,Gamalama,Confirmed,Observations,Reported,1,2012,9,15,2012,9,17
